iter	Passed	Remaining
0	155	124503
1	165	65991
2	171	45623
3	178	35534
4	185	29418
5	188	24979
6	193	21900
7	197	19557
8	200	17649
9	204	16140
10	208	14983
11	212	13974
12	216	13136
13	220	12386
14	224	11757
15	228	11200
16	232	10689
17	236	10277
18	240	9875
19	244	9522
20	247	9193
21	252	8933
22	256	8665
23	260	8414
24	264	8211
25	269	8034
26	273	7826
27	276	7630
28	280	7462
29	285	7326
30	288	7163
31	293	7035
32	297	6914
33	301	6790
34	305	6668
35	309	6560
36	313	6457
37	317	6360
38	320	6254
39	324	6159
40	329	6100
41	338	6102
42	341	6015
43	345	5942
44	348	5852
45	352	5771
46	355	5701
47	360	5647
48	364	5588
49	369	5541
50	373	5490
51	378	5448
52	387	5459
53	394	5451
54	398	5396
55	404	5378
56	408	5324
57	413	5292
58	419	5268
59	423	5219
60	427	5180
61	430	5129
62	434	5082
63	437	5036
64	441	4993
65	445	4959
66	449	4915
67	452	4871
68	456	4831
69	460	4798
70	462	4745
71	466	4719
72	471	4692
73	475	4662
74	479	4631
75	484	4614
76	488	4587
77	492	4562
78	497	4538
79	501	4511
80	504	4481
81	509	4461
82	513	4436
83	517	4410
84	521	4385
85	526	4372
86	531	4352
87	536	4340
88	544	4350
89	549	4334
90	557	4339
91	562	4327
92	567	4313
93	571	4294
94	578	4289
95	581	4266
96	584	4238
97	590	4230
98	596	4223
99	601	4207
100	605	4191
101	610	4176
102	614	4161
103	620	4154
104	625	4141
105	629	4122
106	635	4116
107	640	4105
108	646	4095
109	652	4093
110	657	4080
111	662	4072
112	667	4060
113	673	4052
114	676	4031
115	681	4017
116	685	4001
117	690	3993
118	696	3984
119	701	3975
120	707	3970
121	716	3980
122	721	3969
123	726	3958
124	731	3950
125	737	3944
126	741	3931
127	746	3918
128	751	3907
129	756	3897
130	761	3889
131	765	3875
132	771	3866
133	775	3856
134	781	3849
135	786	3840
136	791	3830
137	797	3825
138	801	3812
139	807	3804
140	811	3793
141	818	3792
142	822	3777
143	827	3771
144	832	3762
145	839	3759
146	844	3753
147	850	3748
148	855	3739
149	860	3728
150	866	3724
151	870	3711
152	876	3704
153	880	3693
154	885	3685
155	890	3676
156	896	3671
157	900	3657
158	905	3649
159	910	3640
160	915	3631
161	919	3619
162	926	3620
163	931	3611
164	938	3609
165	941	3597
166	947	3592
167	952	3584
168	961	3588
169	967	3587
