iter	Logloss
0	0.6598902741
1	0.6315348437
2	0.6045640431
3	0.5801249354
4	0.5600715281
5	0.541259199166	0.5243427555
7	0.5098016326
8	0.4963331172
9	0.4845802948
10	0.4741248027
11	0.4640134486
12	0.4568228026
13	0.4493790578
14	0.442340415	015	0.435679816	016	0.429630617	017	0.424660718	18	0.4199347546
19	0.4158392671
20	0.4108749234
21	0.4055781885
22	0.4029269347
23	0.3993366526
24	0.3960188864
25	0.39240346
26	0.3895238609
27	0.3873797518
28	0.3844277611
29	0.3816230269
30	0.3792704285
31	0.3768328367
32	0.3745273013
33	0.3728357241
34	0.3711682284
35	0.3693350244
36	0.3681401609
37	0.3667025025
38	0.3654799197
39	0.3636173761
40	0.362097106
41	0.3609067649
42	0.3595859188
43	0.3588029672
44	0.3572568296
45	0.3562007885
46	0.35503115347	0.3579473506
48	0.3569678763
49	0.3555750502
50	0.3547557105
51	0.3539327899
52	0.3532531112
53	0.3525433036
54	0.3517057804
55	0.3507045301
56	0.3498184182
57	0.3489235879
58	0.3481350874
59	0.3477691631
60	0.347016555
61	0.61	0.34914162	0.62	0.34861663	0.63	0.34789764	0.64	0.3472765	0.3440833061
66	0.366	0.3459667	0.3426828923
68	0.368	0.3447269	0.341354495
70	0.3408680263
71	0.3403009617
72	0.339673554
73	0.3392975424
74	0.338778388
75	0.3385921804
76	0.3383967745
77	0.3379723658
78	0.3377425335
79	0.3379	0.3399260747
80	0.3393081266
81	0.3389465957
82	0.3383605711
83	0.337738684
84	0.3372529868
85	0.33686	0.3340454032
87	0.333346668
88	0.333021968
89	0.332889	0.3350358566
90	0.3347964907
91	0.3340354215
92	0.3334794157
93	0.3328848625
94	0.3324955683
95	0.3321966564
96	0.331919624
97	0.3313397398	98	0.3306543345
99	0.33100	0.327100	0.3296617164
101	0.3291668616
102	0.3282941997
103	0.32104	0.325104	0.3270682878
105	0.3268158076
106	0.3259460154
107	0.3258095262
108	0.3256639923
109	0.3252135465
110	0.324826764
111	0.324112	0.32112	0.324113	0.32113	0.323114	0.32114	0.3115	0.3216628468
116	0.3212024523
117	0.3210138012
118	0.3207821494
119	0.3204672406
120	0.320185883
121	0.3198401032
122	0.3194488293
123	0.3190266822
124	0.3187070567
125	0.3183310495
126	0.3179721207
127	0.3173955926
128	0.3169602224
129	0.3167391577
130	0.316331749
131	0.315799592
132	0.3154346017
133	0.3150587453
134	0.3147762523
135	0.3143082965
136	0.3138278806
137	0.3132877032
138	0.3127385453
139	0.3125368711
140	0.3121265801
141	0.3117264977
142	0.3112305493
143	0.3109948704
144	0.3104995272
145	0.3102252353
146	0.3098604267
147	0.3095096489
148	0.309210627
149	0.3089144207
150	0.3085041311
151	0.3081480481
152	0.3078629984
153	0.3076800923
154	0.3070197595
155	0.3065151885
156	0.3061430241
157	0.3058793975
158	0.3054036312
159	0.3049954682
160	0.3047268282
161	0.3044552403
162	0.3043695854
163	0.3040754887
164	0.3038315587
165	0.3035432679
166	0.3034031254
167	0.3029362528
168	0.3024978749
169	0.3019893709
170	0.3014711274
171	0.30111898
172	0.3008090689
173	0.3007015867
174	0.3004658135
175	0.300108839
176	0.2997782622
177	0.2994137292
178	0.299140985
179	0.2989746643
180	0.2987046665
181	0.2984211774
182	0.2980680458
183	0.2977553125
184	0.2971560461
185	0.2968094837
186	0.2965096122
187	0.2964235576
188	0.2963775058
189	0.2959782885
190	0.2954726404
191	0.2951181491
192	0.2949020658
193	0.2946293241
194	0.294326133
195	0.2941766839
196	0.2938319386
197	0.2936385436
198	0.2931666047
199	0.2927241413
200	0.2923200136
201	0.292188966
202	0.2920111467
203	0.2918775561
204	0.2916742377
205	0.291414805
