iter	Passed	Remaining
0	170	136129
1	179	71440
2	188	50053
3	200	39980
4	211	33695
5	223	29563
6	239	27121
7	252	24990
8	265	23308
9	273	21574
10	288	20677
11	304	20026
12	320	19380
13	340	19131
14	354	18545
15	363	17831
16	375	17316
17	394	17129
18	413	16987
19	428	16699
20	440	16358
21	456	16136
22	472	15950
23	486	15736
24	499	15497
25	514	15303
26	530	15191
27	543	14981
28	565	15041
29	586	15052
30	609	15108
31	633	15193
32	667	15519
33	686	15469
34	698	15267
35	716	15198
36	742	15320
37	766	15365
38	812	15849
39	849	16140
40	877	16236
41	949	17131
42	962	16951
43	1046	17989
44	1133	19015
45	1148	18822
46	1158	185547	1207	18915
48	1301	19952
49	1311	19672
50	1360	19984
51	1381	19866
52	1453	20487
53	1506	20811
54	1534	20784
55	1565	20798
56	1575	20539
57	1584	20271
58	1594	20020
59	1602	19763
60	1610	19513
61	1625	19351
62	1678	19630
63	1710	19672
64	1758	19881
65	1799	20017
66	1826	19983
67	1896	20414
68	1940	20560
69	1983	20682
70	1995	20486
71	2019	20416
72	2086	20778
73	2153	21125
74	2186	21133
75	2247	21410
76	2265	21271
77	2274	21052
78	2283	20840
79	2322	20903
80	2355	20906
81	2367	20726
82	2387	20621
83	2396	20424
84	2405	20232
85	2415	20053
86	2471	20258
87	2493	20174
88	2502	19988
89	2557	20172
90	2576	20077
91	2587	19910
92	2613	19870
93	2622	19696
94	2648	19654
95	2665	19549
96	2678	19412
97	2688	19259898	2725	19301
99	2737	19162
100	2800	19384
101	2820	19300
102	2887	19536
103	2895	19380
104	2941	19468
105	3020	19777
106	3030	19628
107	3059	19605
108	3116	19754
109	3140	19697
110	3150	19557
111	3161	19418
112	3173	19295
113	3186	19176
114	3200	19062
115	3264	19250
116	3400	19850
117	3426	19804
118	3449	19742
119	3517	19934
120	3578	20080
121	3590	19954
122	3663	20161
123	3672	20023
124	3682	19887
125	3701	19801
126	3712	19673
127	3764	19765
128	3837	19961
129	3849	19837
130	3908	19959
131	3983	20159
132	3994	20033
133	4048	20120
134	4122	20308
135	4133	20181
136	4214	20396
137	4256	20417
138	4322	20557
139	4357	20543
140	4366	20408
141	4375	20275
142	4384	20144
143	4393	20015
144	4406	19905
145	4520	20249
146	4529	20119
147	4537	19991
148	4546	19864
149	4554	19736
150	4563	19612
151	4572	19491
152	4592	19420
153	4660	19549
154	4708	19592
155	4717	19473
156	4725	19354
157	4735	19241
158	4744	19128
159	4753	19012
160	4762	18900
161	4771	18791
162	4781	18687
163	4790	18578
164	4799	18470
165	4838	18477
166	4848	18377
167	4858	18275
168	4868	18177
169	4877	18076
170	4897	18013
171	4909	17925
172	4920	17835
173	5030	18097
174	5084	18160
175	5095	18065
176	5106	17972
177	5115	17873
178	5125	17781
179	5134	17686
180	5144	17593
181	5152	17497
182	5162	17404
183	5171	17314
184	5180	17221
185	5189	17131
186	5227	17135
187	5240	17059
188	5252	16980
189	5263	16899
190	5276	16823
191	5290	16753
192	5310	16702
193	5339	16678
194	5354	16612
195	5403	16653
196	5442	16660
197	5452	16576
198	5460	16492
199	5469	16409
200	5508	16417
201	5557	16451
202	5577	16402
203	5609	16387
204	5628	16336
205	5638	16259
206	5661	16219
207	5671	16140
208	5679	16060
209	5711	16046
210	5754	16062
211	5774	16015
212	5792	15963
213	5814	15921
214	5857	15937
215	5866	15862
216	5878	15792
217	5893	15734
218	5940	15760
219	6005	15833
220	6032	15804
221	6075	15819
222	6115	15822
223	6126	15752
224	6145	15705
225	6160	15646
226	6171	15579
227	6215	15592
228	6276	15650
229	6286	15579
230	6295	15507
231	6305	15436
232	6316	15370
233	6325	15301
234	6335	15231
235	6348	15172
236	6358	15105
237	6368	15038
238	6377	14970
239	6397	14927
240	6453	14968
241	6483	14948
242	6493	14883
243	6504	14821
244	6549	14836
245	6560	14773
246	6571	14711
247	6579	14645
248	6588	14578
249	6596	14511
250	6657	14562
251	6668	14500
252	6716	14520
253	6775	14563
254	6786	14505
255	6799	14447
256	6822	14415
257	6844	14379
258	6862	14334
259	6871	14271
260	6880	14209
261	6890	14149
262	6900	14089
263	6952	14115
264	6974	14080
265	6995	14043
266	7020	14014
267	7056	14006
268	7072	13960
269	7082	13901
270	7091	13843
271	7102	13786
272	7111	13727
273	7120	13670
274	7166	13680
275	7234	13734
276	7267	13722
277	7293	13694
278	7317	13663
279	7352	13655
280	7387	13644
281	7415	13620
282	7424	13563
283	7434	13507
284	7443	13449
285	7456	13401
286	7502	13411
287	7516	13363
288	7592	13425
289	7602	13369
290	7611	13313
291	7625	13266
292	7734	13382
293	7750	13339
294	7769	13300
295	7787	13260
296	7884	13353
297	7950	13392
298	7972	13357
299	7986	13310
